Barcode	Count	Location
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P16.fasta
unmatched	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A11unmatched.fasta
total	21
Barcode	Count	Location
P01	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P01.fasta
P02	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P02.fasta
P03	6	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P03.fasta
P04	6	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P05.fasta
P06	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P06.fasta
P07	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P07.fasta
P08	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A12P16.fasta
unmatched	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A12unmatched.fasta
total	21
Barcode	Count	Location
P01	1	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P01.fasta
P02	4	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P02.fasta
P03	1	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P03.fasta
P04	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P05.fasta
P06	7	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P06.fasta
P07	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P07.fasta
P08	1	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01P16.fasta
unmatched	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B01unmatched.fasta
total	19
Barcode	Count	Location
P01	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P01.fasta
P02	3	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P02.fasta
P03	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P03.fasta
P04	3	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P04.fasta
P05	1	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P05.fasta
P06	1	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P06.fasta
P07	5	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P07.fasta
P08	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P09.fasta
P10	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02P16.fasta
unmatched	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B02unmatched.fasta
total	19
Barcode	Count	Location
P01	1	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P01.fasta
P02	4	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P02.fasta
P03	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P03.fasta
P04	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P05.fasta
P06	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P06.fasta
P07	0	results/trezende/Angelina/AB220418/split1/split2/AB220418B03P07.fasta
